D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007337157.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007447075.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007472101.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007491072.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007565089.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007582484.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007597225.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007612403.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007674312.jpg,0.5
D:\python project\autonomous smart ambulance\DataCollected/IMG28\Image_1683152007688532.jpg,0.5
